time,P,I,D,ds,left speed,right speed
1,-530.789459,-0.000000,-1658717.060089,-200.000000,600.000000,200.000000
2,-525.263153,-0.000000,17269.706726,200.000000,200.000000,600.000000
3,-537.526306,-0.000000,-38322.353363,-200.000000,600.000000,200.000000
4,-531.368408,-0.000000,19243.431091,200.000000,200.000000,600.000000
5,-528.315796,-0.000000,9539.413452,200.000000,200.000000,600.000000
6,-537.684204,-0.000000,-29276.275635,-200.000000,600.000000,200.000000
7,-539.631592,-0.000000,-6085.586548,-200.000000,600.000000,200.000000
8,-535.368408,-0.000000,13322.448730,200.000000,200.000000,600.000000
9,-541.473694,-0.000000,-19079.017639,-200.000000,600.000000,200.000000
10,-523.736847,-0.000000,55427.646637,200.000000,200.000000,600.000000
11,-527.684204,-0.000000,-12335.491180,-200.000000,600.000000,200.000000
12,-529.526306,-0.000000,-5756.568909,-200.000000,600.000000,200.000000
13,-513.736847,-0.000000,49342.060089,200.000000,200.000000,600.000000
14,-508.789459,-0.000000,15460.586548,200.000000,200.000000,600.000000
15,-513.105255,-0.000000,-13486.862183,-200.000000,600.000000,200.000000
16,-511.736847,-0.000000,4276.275635,200.000000,200.000000,600.000000
17,-514.368408,-0.000000,-8223.628998,-200.000000,600.000000,200.000000
18,-508.947357,-0.000000,16940.784454,200.000000,200.000000,600.000000
19,-512.894745,-0.000000,-12335.586548,-200.000000,600.000000,200.000000
20,-500.947357,-0.000000,37335.586548,200.000000,200.000000,600.000000
21,-500.105255,-0.000000,2631.568909,200.000000,200.000000,600.000000
22,-499.842102,-0.000000,822.353363,200.000000,200.000000,600.000000
23,-518.947357,-0.000000,-59703.922272,-200.000000,600.000000,200.000000
24,-514.947357,-0.000000,12500.000000,200.000000,200.000000,600.000000
25,-531.315796,-0.000000,-51151.371002,-200.000000,600.000000,200.000000
26,-534.684204,-0.000000,-10526.275635,-200.000000,600.000000,200.000000
27,-527.315796,-0.000000,23026.275635,200.000000,200.000000,600.000000
28,-535.473694,-0.000000,-25493.431091,-200.000000,600.000000,200.000000
29,-531.315796,-0.000000,12993.431091,200.000000,200.000000,600.000000
30,-545.210526,-0.000000,-43421.030045,-200.000000,600.000000,200.000000
31,-539.421051,-0.000000,18092.107773,200.000000,200.000000,600.000000
32,-544.684204,-0.000000,-16447.353363,-200.000000,600.000000,200.000000
33,-550.315796,-0.000000,-17598.724365,-200.000000,600.000000,200.000000
34,-536.789459,-0.000000,42269.802094,200.000000,200.000000,600.000000
35,-544.263153,-0.000000,-23355.293274,-200.000000,600.000000,200.000000
36,-531.157898,-0.000000,40953.922272,200.000000,200.000000,600.000000
37,-534.736847,-0.000000,-11184.215546,-200.000000,600.000000,200.000000
38,-528.473694,-0.000000,19572.353363,200.000000,200.000000,600.000000
39,-533.000000,-0.000000,-14144.706726,-200.000000,600.000000,200.000000
40,-522.526306,-0.000000,32730.293274,200.000000,200.000000,600.000000
41,-522.315796,-0.000000,657.844543,135.528748,264.471252,535.528748
42,-530.210541,-0.000000,-24671.077728,-200.000000,600.000000,200.000000
43,-517.000000,-0.000000,41282.939911,200.000000,200.000000,600.000000
44,-534.105255,-0.000000,-53453.922272,-200.000000,600.000000,200.000000
45,-527.368408,-0.000000,21052.646637,200.000000,200.000000,600.000000
46,-539.578949,-0.000000,-38157.939911,-200.000000,600.000000,200.000000
47,-530.789459,-0.000000,27467.155457,200.000000,200.000000,600.000000
48,-531.157898,-0.000000,-1151.371002,-200.000000,600.000000,200.000000
49,-526.105255,-0.000000,15789.508820,200.000000,200.000000,600.000000
50,-540.157898,-0.000000,-43914.508820,-200.000000,600.000000,200.000000
51,-535.684204,-0.000000,13980.293274,200.000000,200.000000,600.000000
52,-539.473694,-0.000000,-11842.155457,-200.000000,600.000000,200.000000
53,-541.421051,-0.000000,-6085.491180,-200.000000,600.000000,200.000000
54,-538.000000,-0.000000,10690.784454,200.000000,200.000000,600.000000
55,-522.052643,-0.000000,49835.491180,200.000000,200.000000,600.000000
56,-536.157898,-0.000000,-44078.922272,-200.000000,600.000000,200.000000
57,-527.526306,-0.000000,26973.724365,200.000000,200.000000,600.000000
58,-530.526306,-0.000000,-9375.000000,-200.000000,600.000000,200.000000
59,-535.684204,-0.000000,-16118.431091,-200.000000,600.000000,200.000000
60,-526.368408,-0.000000,29111.862183,200.000000,200.000000,600.000000
61,-518.842102,-0.000000,23519.706726,200.000000,200.000000,600.000000
62,-532.000000,-0.000000,-41118.431091,-200.000000,600.000000,200.000000
63,-517.473694,-0.000000,45394.706726,200.000000,200.000000,600.000000
64,-529.052643,-0.000000,-36184.215546,-200.000000,600.000000,200.000000
65,-527.000000,-0.000000,6414.508820,200.000000,200.000000,600.000000
66,-527.526306,-0.000000,-1644.706726,-200.000000,600.000000,200.000000
67,-522.947357,-0.000000,14309.215546,200.000000,200.000000,600.000000
68,-528.421051,-0.000000,-17105.293274,-200.000000,600.000000,200.000000
69,-539.315796,-0.000000,-34046.077728,-200.000000,600.000000,200.000000
70,-524.736847,-0.000000,45559.215546,200.000000,200.000000,600.000000
71,-516.736847,-0.000000,25000.000000,200.000000,200.000000,600.000000
72,-528.842102,-0.000000,-37828.922272,-200.000000,600.000000,200.000000
73,-519.052643,-0.000000,30592.060089,200.000000,200.000000,600.000000
74,-532.421051,-0.000000,-41776.275635,-200.000000,600.000000,200.000000
75,-520.736847,-0.000000,36513.137817,200.000000,200.000000,600.000000
76,-531.263153,-0.000000,-32894.706726,-200.000000,600.000000,200.000000
77,-535.789459,-0.000000,-14144.706726,-200.000000,600.000000,200.000000
78,-522.421051,-0.000000,41776.275635,200.000000,200.000000,600.000000
79,-520.894745,-0.000000,4769.706726,200.000000,200.000000,600.000000
80,-531.210541,-0.000000,-32236.862183,-200.000000,600.000000,200.000000
81,-524.947357,-0.000000,19572.448730,200.000000,200.000000,600.000000
82,-533.947357,-0.000000,-28125.000000,-200.000000,600.000000,200.000000
83,-525.210541,-0.000000,27302.551270,200.000000,200.000000,600.000000
84,-527.368408,-0.000000,-6743.335724,-200.000000,600.000000,200.000000
85,-526.368408,-0.000000,3125.000000,200.000000,200.000000,600.000000
86,-522.631592,-0.000000,11677.551270,200.000000,200.000000,600.000000
87,-540.052643,-0.000000,-54440.784454,-200.000000,600.000000,200.000000
88,-538.894745,-0.000000,3618.431091,200.000000,200.000000,600.000000
89,-543.789459,-0.000000,-15295.982361,-200.000000,600.000000,200.000000
90,-549.210526,-0.000000,-16940.832138,-200.000000,600.000000,200.000000
91,-542.894745,-0.000000,19736.814499,200.000000,200.000000,600.000000
92,-551.210526,-0.000000,-25986.814499,-200.000000,600.000000,200.000000
93,-543.842102,-0.000000,23026.323318,200.000000,200.000000,600.000000
94,-548.368423,-0.000000,-14144.754410,-200.000000,600.000000,200.000000
95,-546.368423,-0.000000,6250.000000,200.000000,200.000000,600.000000
96,-552.947372,-0.000000,-20559.215546,-200.000000,600.000000,200.000000
97,-542.210541,-0.000000,33552.598953,200.000000,200.000000,600.000000
98,-561.052628,-0.000000,-58881.521225,-200.000000,600.000000,200.000000
99,-539.894745,-0.000000,66118.383408,200.000000,200.000000,600.000000
100,-552.894730,-0.000000,-40624.952316,-200.000000,600.000000,200.000000
101,-550.263153,-0.000000,8223.676682,200.000000,200.000000,600.000000
102,-554.210526,-0.000000,-12335.538864,-200.000000,600.000000,200.000000
103,-543.736847,-0.000000,32730.245590,200.000000,200.000000,600.000000
104,-549.736847,-0.000000,-18750.000000,-200.000000,600.000000,200.000000
105,-548.157898,-0.000000,4934.215546,200.000000,200.000000,600.000000
106,-550.631577,-0.000000,-7730.245590,-200.000000,600.000000,200.000000
107,-545.842102,-0.000000,14967.107773,200.000000,200.000000,600.000000
108,-555.684204,-0.000000,-30756.568909,-200.000000,600.000000,200.000000
109,-548.368423,-0.000000,22861.814499,200.000000,200.000000,600.000000
110,-555.473679,-0.000000,-22203.922272,-200.000000,600.000000,200.000000
111,-552.789474,-0.000000,8388.137817,200.000000,200.000000,600.000000
112,-558.105270,-0.000000,-16611.862183,-200.000000,600.000000,200.000000
113,-550.000000,-0.000000,25328.969955,200.000000,200.000000,600.000000
114,-561.473679,-0.000000,-35855.245590,-200.000000,600.000000,200.000000
115,-542.736847,-0.000000,58552.598953,200.000000,200.000000,600.000000
116,-563.000000,-0.000000,-63322.353363,-200.000000,600.000000,200.000000
117,-556.210526,-0.000000,21217.107773,200.000000,200.000000,600.000000
118,-551.842102,-0.000000,13651.323318,200.000000,200.000000,600.000000
119,-553.631577,-0.000000,-5592.107773,-200.000000,600.000000,200.000000
120,-558.263153,-0.000000,-14473.676682,-200.000000,600.000000,200.000000
121,-552.263153,-0.000000,18750.000000,200.000000,200.000000,600.000000
122,-559.894730,-0.000000,-23848.676682,-200.000000,600.000000,200.000000
123,-556.684204,-0.000000,10032.892227,200.000000,200.000000,600.000000
124,-563.210526,-0.000000,-20394.754410,-200.000000,600.000000,200.000000
