time,P,I,D,ds,prox_right,left speed,right speed
1,8212.105103,5.255747,5132.565689,200.000000,921.210510,200.000000,600.000000
2,8144.210815,10.468042,-42.433929,200.000000,914.421082,200.000000,600.000000
3,7608.947144,15.337768,-334.539795,200.000000,860.894714,200.000000,600.000000
4,6965.263062,19.795537,-402.302551,200.000000,796.526306,200.000000,600.000000
5,6082.105103,23.688084,-551.973724,200.000000,708.210510,200.000000,600.000000
6,4678.947144,26.682610,-876.973724,200.000000,567.894714,200.000000,600.000000
7,3022.631531,28.617094,-1035.197258,200.000000,402.263153,200.000000,600.000000
8,2432.631531,30.173979,-368.750000,200.000000,343.263153,200.000000,600.000000
9,1872.631531,31.372463,-350.000000,200.000000,287.263153,200.000000,600.000000
10,1724.736938,32.476294,-92.434120,200.000000,272.473694,200.000000,600.000000
11,1418.947296,33.384421,-191.118526,200.000000,241.894730,200.000000,600.000000
12,1035.263214,34.046989,-239.802551,200.000000,203.526321,200.000000,600.000000
13,908.947296,34.628715,-78.947449,200.000000,190.894730,200.000000,600.000000
14,653.157959,35.046736,-159.868336,200.000000,165.315796,200.000000,600.000000
15,478.421021,35.352926,-109.210587,200.000000,147.842102,200.000000,600.000000
16,313.157959,35.553347,-103.289413,200.000000,131.315796,200.000000,600.000000
17,148.947372,35.648673,-102.631617,81.964429,114.894737,318.035571,481.964429
18,-32.631607,35.627789,-113.486862,-110.490680,96.736839,510.490680,289.509320
19,-75.263138,35.579621,-26.644707,-66.328224,92.473686,466.328224,333.671776
20,-97.894745,35.516968,-14.144754,-76.522531,90.210526,476.522531,323.477469
21,-154.736862,35.417936,-35.526323,-154.845249,84.526314,554.845249,245.154751
22,-145.789490,35.324631,5.592108,-104.872751,85.421051,504.872751,295.127249
23,-204.210510,35.193936,-36.513138,-200.000000,79.578949,600.000000,200.000000
24,-226.315765,35.049094,-13.815784,-200.000000,77.368423,600.000000,200.000000
25,-214.210510,34.912000,7.565784,-171.732726,78.578949,571.732726,228.267274
26,-193.157883,34.788379,13.157892,-145.211612,80.684212,545.211612,254.788388
27,-184.736862,34.670147,5.263138,-144.803577,81.526314,544.803577,255.196423
28,-216.842117,34.531368,-20.065784,-200.000000,78.315788,600.000000,200.000000
29,-213.157883,34.394947,2.302647,-176.460289,78.684212,576.460289,223.539711
30,-256.315765,34.230905,-26.973677,-200.000000,74.368423,600.000000,200.000000
31,-208.947372,34.097179,29.605246,-145.244948,79.105263,545.244948,254.755052
32,-201.578979,33.968168,4.605246,-163.005566,79.842102,563.005566,236.994434
33,-251.578979,33.807157,-31.250000,-200.000000,74.842102,600.000000,200.000000
34,-184.736862,33.688926,41.776323,-109.271613,81.526314,509.271613,290.728387
35,-222.631607,33.546442,-23.684216,-200.000000,77.736839,600.000000,200.000000
36,-172.631607,33.435957,31.250000,-107.945650,82.736839,507.945650,292.054350
37,-192.631607,33.312673,-12.500000,-171.818934,80.736839,571.818934,228.181066
38,-180.526352,33.197136,7.565784,-139.763431,81.947365,539.763431,260.236569
39,-202.631607,33.067452,-13.815784,-183.379939,79.736839,583.379939,216.620061
40,-182.105255,32.950905,12.828970,-136.325380,81.789474,536.325380,263.674620
41,-166.315765,32.844463,9.868431,-123.602872,83.368423,523.602872,276.397128
42,-183.157883,32.727242,-10.526323,-160.956964,81.684212,560.956964,239.043036
43,-137.368393,32.639326,28.618431,-76.110636,86.263161,476.110636,323.889364
44,-198.947372,32.512000,-38.486862,-200.000000,80.105263,600.000000,200.000000
45,-177.894745,32.398147,13.157892,-132.338706,82.210526,532.338706,267.661294
46,-218.947372,32.258021,-25.657892,-200.000000,78.105263,600.000000,200.000000
47,-182.631607,32.141136,22.697353,-127.793117,81.736839,527.793117,272.206883
48,-134.736862,32.054905,29.934216,-72.747742,86.526314,472.747742,327.252258
49,-100.000000,31.990905,21.710539,-46.298556,90.000000,446.298556,353.701444
50,-118.421021,31.915115,-11.513138,-98.019043,88.157898,498.019043,301.980957
51,-101.052628,31.850442,10.855246,-58.346940,89.894737,458.346940,341.653060
52,-72.631607,31.803957,17.763138,-23.064512,92.736839,423.064512,376.935488
53,-70.000000,31.759157,1.644754,-36.596088,93.000000,436.596088,363.403912
54,-73.684235,31.711999,-2.302647,-44.274882,92.631577,444.274882,355.725118
55,8.947372,31.717726,51.644754,92.309853,100.894737,307.690147,492.309853
56,-18.421021,31.705936,-17.105246,-3.820330,98.157898,403.820330,396.179670
57,37.368393,31.729852,34.868383,103.966628,103.736839,296.033372,503.966628
58,75.789490,31.778357,24.013186,131.581033,107.578949,268.418967,531.581033
59,38.947372,31.803284,-23.026323,47.724333,103.894737,352.275667,447.724333
60,112.105255,31.875031,45.723677,189.703963,111.210526,210.296037,589.703963
61,188.421021,31.995621,47.697353,200.000000,118.842102,200.000000,600.000000
62,161.052628,32.098694,-17.105246,176.046076,116.105263,223.953924,576.046076
63,261.052628,32.265768,62.500000,200.000000,126.105263,200.000000,600.000000
64,230.526352,32.413305,-19.078922,200.000000,123.052635,200.000000,600.000000
65,222.631607,32.555789,-4.934216,200.000000,122.263161,200.000000,600.000000
66,242.631607,32.711073,12.500000,200.000000,124.263161,200.000000,600.000000
67,212.631607,32.847157,-18.750000,200.000000,121.263161,200.000000,600.000000
68,175.789490,32.959663,-23.026323,185.722829,117.578949,214.277171,585.722829
69,62.631607,32.999747,-70.723677,24.907677,106.263161,375.092323,424.907677
70,122.105255,33.077894,37.171030,192.354179,112.210526,207.645821,592.354179
71,127.368393,33.159410,3.289461,163.817264,112.736839,236.182736,563.817264
72,52.631607,33.193094,-46.710491,39.114210,105.263161,360.885790,439.114210
73,78.947372,33.243621,16.447353,128.638346,107.894737,271.361654,528.638346
74,-9.473648,33.237557,-55.263138,-31.499228,99.052635,431.499228,368.500772
75,32.631607,33.258442,26.315784,92.205833,103.263161,307.794167,492.205833
76,-30.526352,33.238905,-39.473724,-36.761171,96.947365,436.761171,363.238829
77,-113.684235,33.166147,-51.973677,-132.491764,88.631577,532.491764,267.508236
78,-45.263138,33.137179,42.763186,30.637226,95.473686,369.362774,430.637226
79,-70.000000,33.092379,-15.460539,-52.368160,93.000000,452.368160,347.631840
80,-113.157883,33.019957,-26.973677,-107.111602,88.684212,507.111602,292.888398
81,-90.526352,32.962021,14.144707,-43.419625,90.947365,443.419625,356.580375
82,-118.421021,32.886231,-17.434168,-102.968957,88.157898,502.968957,297.031043
83,-83.684235,32.832673,21.710491,-29.141070,91.631577,429.141070,370.858930
84,-72.631607,32.786189,6.907892,-32.937526,92.736839,432.937526,367.062474
85,-92.105255,32.727242,-12.171030,-71.549044,90.789474,471.549044,328.450956
86,-38.947372,32.702315,33.223677,26.978620,96.105263,373.021380,426.978620
87,-107.894745,32.633263,-43.092108,-118.353590,89.210526,518.353590,281.646410
88,-70.000000,32.588463,23.684216,-13.727322,93.000000,413.727322,386.272678
89,-84.210510,32.534568,-8.881569,-60.557511,91.578949,460.557511,339.442489
90,-95.263138,32.473600,-6.907892,-69.697430,90.473686,469.697430,330.302570
91,-91.052628,32.415326,2.631569,-56.005733,90.894737,456.005733,343.994267
92,-107.894745,32.346273,-10.526323,-86.074795,89.210526,486.074795,313.925205
93,-94.210510,32.285979,8.552647,-53.371885,90.578949,453.371885,346.628115
94,-83.684235,32.232421,6.578922,-44.872892,91.631577,444.872892,355.127108
95,-112.105255,32.160673,-17.763138,-97.707720,88.789474,497.707720,302.292280
96,-114.736862,32.087242,-1.644754,-84.294375,88.526314,484.294375,315.705625
97,-73.684235,32.040084,25.657892,-15.986259,92.631577,415.986259,384.013741
98,-162.105255,31.936336,-55.263138,-185.432057,83.789474,585.432057,214.567943
99,-52.631607,31.902652,68.421030,47.692075,94.736839,352.307925,447.692075
100,-98.421021,31.839663,-28.618383,-95.199741,90.157898,495.199741,304.800259
101,-124.736862,31.759831,-16.447401,-109.424432,87.526314,509.424432,290.575568
102,-104.210510,31.693136,12.828970,-59.688404,89.578949,459.688404,340.311596
103,-51.052628,31.660463,33.223677,13.831512,94.894737,386.168488,413.831512
104,-44.736862,31.631831,3.947353,-9.157678,95.526314,409.157678,390.842322
105,-63.684235,31.591073,-11.842108,-43.935269,93.631577,443.935269,356.064731
106,-22.105255,31.576926,25.986862,35.458533,97.789474,364.541467,435.458533
107,-22.631607,31.562442,-0.328970,8.601865,97.736839,391.398135,408.601865
108,-48.421021,31.531452,-16.118383,-33.007952,95.157898,433.007952,366.992048
109,-17.368393,31.520336,19.407892,33.559836,98.263161,366.440164,433.559836
110,-21.052628,31.506863,-2.302647,8.151588,97.894737,391.848412,408.151588
111,-32.105255,31.486315,-6.907892,-7.526832,96.789474,407.526832,392.473168
112,-20.000000,31.473515,7.565784,19.039300,98.000000,380.960700,419.039300
113,16.842117,31.484294,23.026323,71.352735,101.684212,328.647265,471.352735
114,-16.842117,31.473515,-21.052647,-6.421249,98.315788,406.421249,393.578751
115,107.368393,31.542231,77.631569,200.000000,110.736839,200.000000,600.000000
116,-31.052628,31.522357,-86.513138,-86.043408,96.894737,486.043408,313.956592
117,7.368393,31.527073,24.013138,62.908604,100.736839,337.091396,462.908604
118,86.842117,31.582652,49.671078,168.095847,108.684212,231.904153,568.095847
119,59.473648,31.620715,-17.105293,73.989070,105.947365,326.010930,473.989070
120,42.631607,31.648000,-10.526276,63.753331,104.263161,336.246669,463.753331
121,55.263138,31.683368,7.894707,94.841212,105.526314,305.158788,494.841212
122,25.263138,31.699536,-18.750000,38.212674,102.526314,361.787326,438.212674
123,15.263138,31.709305,-6.250000,40.722443,101.526314,359.277557,440.722443
124,-0.526352,31.708968,-9.868431,21.314185,99.947365,378.685815,421.314185
125,13.157883,31.717389,8.552647,53.427918,101.315788,346.572082,453.427918
126,41.578979,31.743999,17.763186,91.086164,104.157898,308.913836,491.086164
127,-55.263138,31.708631,-60.526323,-84.080830,94.473686,484.080830,315.919170
128,12.631607,31.716715,42.434216,86.782538,101.263161,313.217462,486.782538
129,7.368393,31.721431,-3.289509,35.800315,100.736839,364.199685,435.800315
130,-16.842117,31.710652,-15.131569,-0.263034,98.315788,400.263034,399.736966
131,-4.736862,31.707621,7.565784,34.536543,99.526314,365.463457,434.536543
132,-12.631607,31.699536,-4.934216,14.133714,98.736839,385.866286,414.133714
133,-72.105255,31.653389,-37.171030,-77.622896,92.789474,477.622896,322.377104
134,-56.842117,31.617010,9.539461,-15.685646,94.315788,415.685646,384.314354
135,-57.368393,31.580294,-0.328922,-26.117021,94.263161,426.117021,373.882979
136,-13.684235,31.571536,27.302599,45.189901,98.631577,354.810099,445.189901
137,-69.473648,31.527073,-34.868383,-72.814958,93.052635,472.814958,327.185042
138,-13.157883,31.518652,35.197353,53.558123,98.684212,346.441877,453.558123
139,-107.368393,31.449936,-58.881569,-134.800026,89.263161,534.800026,265.199974
140,-81.578979,31.397726,16.118383,-34.062870,91.842102,434.062870,365.937130
