time,P,I,D,ds,left speed,right speed
1,-6343.684235,-0.000000,-19824013.233185,-200.000000,600.000000,200.000000
2,-6278.947296,-0.000000,202302.932739,200.000000,200.000000,600.000000
3,-6380.526276,-0.000000,-317434.310913,-200.000000,600.000000,200.000000
4,-6329.473724,-0.000000,159539.222717,200.000000,200.000000,600.000000
5,-6309.473724,-0.000000,62500.000000,200.000000,200.000000,600.000000
6,-6354.736786,-0.000000,-141447.067261,-200.000000,600.000000,200.000000
7,-6365.789490,-0.000000,-34539.699554,-200.000000,600.000000,200.000000
8,-6343.157959,-0.000000,70723.533630,200.000000,200.000000,600.000000
9,-6407.368469,-0.000000,-200657.844543,-200.000000,600.000000,200.000000
10,-6265.789490,-0.000000,442434.310913,200.000000,200.000000,600.000000
11,-6315.789490,-0.000000,-156250.000000,-200.000000,600.000000,200.000000
12,-6341.578979,-0.000000,-80592.155457,-200.000000,600.000000,200.000000
13,-6231.052704,-0.000000,345394.611359,200.000000,200.000000,600.000000
14,-6233.157959,-0.000000,-6578.922272,-200.000000,600.000000,200.000000
15,-6227.894745,-0.000000,16447.544098,200.000000,200.000000,600.000000
16,-6239.473724,-0.000000,-36184.310913,-200.000000,600.000000,200.000000
17,-6214.210510,-0.000000,78947.544098,200.000000,200.000000,600.000000
18,-6195.789490,-0.000000,57565.689087,200.000000,200.000000,600.000000
19,-6224.736786,-0.000000,-90460.300446,-200.000000,600.000000,200.000000
20,-6154.736786,-0.000000,218750.000000,200.000000,200.000000,600.000000
21,-6172.631531,-0.000000,-55921.077728,-200.000000,600.000000,200.000000
22,-6107.894745,-0.000000,202302.455902,200.000000,200.000000,600.000000
23,-6163.157959,-0.000000,-172697.544098,-200.000000,600.000000,200.000000
24,-6101.052704,-0.000000,194078.922272,200.000000,200.000000,600.000000
25,-6150.000000,-0.000000,-152960.300446,-200.000000,600.000000,200.000000
26,-6112.105255,-0.000000,118421.077728,200.000000,200.000000,600.000000
27,-6081.578979,-0.000000,95394.611359,200.000000,200.000000,600.000000
28,-6135.789490,-0.000000,-169407.844543,-200.000000,600.000000,200.000000
29,-6096.315765,-0.000000,123355.388641,200.000000,200.000000,600.000000
