time,P,I,D,ds,left speed,right speed
1,-2883.246765,-0.000000,-45050.730705,-47933.977470,47933.977470,-47933.977470
2,-698.051758,-0.000000,34143.671989,33445.620232,-33445.620232,33445.620232
3,-3072.857056,-0.000000,-37106.332779,-40179.189835,40179.189835,-40179.189835
4,-902.597656,-0.000000,33910.303116,33007.705460,-33007.705460,33007.705460
5,-3104.285583,-0.000000,-34401.373863,-37505.659447,37505.659447,-37505.659447
6,-825.844116,-0.000000,35600.647926,34774.803810,-34774.803810,34774.803810
7,-3170.130005,-0.000000,-36629.467010,-39799.597015,39799.597015,-39799.597015
8,-943.117065,-0.000000,34797.077179,33853.960114,-33853.960114,33853.960114
9,-3183.116760,-0.000000,-34999.995232,-38183.111992,38183.111992,-38183.111992
10,-781.428833,-0.000000,37526.373863,36744.945030,-36744.945030,36744.945030
11,-3077.402649,-0.000000,-35874.590874,-38951.993523,38951.993523,-38951.993523
12,-825.844116,-0.000000,35180.602074,34354.757957,-34354.757957,34354.757957
13,-3048.311768,-0.000000,-34726.057053,-37774.368820,37774.368820,-37774.368820
14,-715.194702,-0.000000,36454.954147,35739.759445,-35739.759445,35739.759445
15,-3063.116760,-0.000000,-36686.282158,-39749.398918,39749.398918,-39749.398918
16,-817.272949,-0.000000,35091.309547,34274.036598,-34274.036598,34274.036598
17,-3062.467651,-0.000000,-35081.167221,-38143.634872,38143.634872,-38143.634872
18,-612.597656,-0.000000,38279.218674,37666.621017,-37666.621017,37666.621017
19,-3031.168823,-0.000000,-37790.174484,-40821.343307,40821.343307,-40821.343307
20,-440.130005,-0.000000,40484.981537,40044.851532,-40044.851532,40044.851532
21,-3002.467651,-0.000000,-40036.525726,-43038.993378,43038.993378,-43038.993378
22,-362.337646,-0.000000,41252.031326,40889.693680,-40889.693680,40889.693680
23,-3037.792358,-0.000000,-41803.979874,-44841.772232,44841.772232,-44841.772232
24,-713.895874,-0.000000,36310.882568,35596.986694,-35596.986694,35596.986694
25,-3102.337646,-0.000000,-37319.402695,-40421.740341,40421.740341,-40421.740341
26,-699.480591,-0.000000,37544.641495,36845.160904,-36845.160904,36845.160904
27,-2972.727356,-0.000000,-35519.480705,-38492.208061,38492.208061,-38492.208061
28,-434.415283,-0.000000,39661.126137,39226.710854,-39226.710854,39226.710854
29,-2937.142944,-0.000000,-39105.119705,-42042.262650,42042.262650,-42042.262650
30,-607.662354,-0.000000,36398.134232,35790.471878,-35790.471878,35790.471878
31,-3021.947937,-0.000000,-37723.212242,-40745.160179,40745.160179,-40745.160179
32,-724.805298,-0.000000,35892.853737,35168.048439,-35168.048439,35168.048439
33,-3148.831177,-0.000000,-37875.404358,-41024.235535,41024.235535,-41024.235535
34,-805.324707,-0.000000,36617.288589,35811.963882,-35811.963882,35811.963882
35,-3109.610291,-0.000000,-36004.462242,-39114.072533,39114.072533,-39114.072533
36,-578.051758,-0.000000,39555.602074,38977.550316,-38977.550316,38977.550316
37,-3032.987061,-0.000000,-38358.364105,-41391.351166,41391.351166,-41391.351166
38,-605.064697,-0.000000,37936.286926,37331.222229,-37331.222229,37331.222229
39,-3152.987061,-0.000000,-39811.286926,-42964.273987,42964.273987,-42964.273987
40,-782.857056,-0.000000,37033.281326,36250.424271,-36250.424271,36250.424271
41,-3090.130005,-0.000000,-36051.139832,-39141.269836,39141.269836,-39141.269836
42,-800.130005,-0.000000,35781.250000,34981.119995,-34981.119995,34981.119995
43,-3009.350586,-0.000000,-34519.071579,-37528.422165,37528.422165,-37528.422165
44,-610.389404,-0.000000,37483.768463,36873.379059,-36873.379059,36873.379059
45,-3017.142944,-0.000000,-37605.524063,-40622.667007,40622.667007,-40622.667007
46,-733.636475,-0.000000,35679.788589,34946.152115,-34946.152115,34946.152115
47,-3087.142944,-0.000000,-36773.538589,-39860.681534,39860.681534,-39860.681534
48,-757.792358,-0.000000,36396.102905,35638.310547,-35638.310547,35638.310547
49,-3072.727356,-0.000000,-36170.859337,-39243.586693,39243.586693,-39243.586693
50,-967.532349,-0.000000,32893.671989,31926.139641,-31926.139641,31926.139641
51,-3070.000000,-0.000000,-32851.057053,-35921.057053,35921.057053,-35921.057053
52,-671.948242,-0.000000,37469.558716,36797.610474,-36797.610474,36797.610474
53,-3086.493530,-0.000000,-37727.270126,-40813.763657,40813.763657,-40813.763657
54,-751.558228,-0.000000,36483.364105,35731.805878,-35731.805878,35731.805878
55,-3081.168823,-0.000000,-36400.165558,-39481.334381,39481.334381,-39481.334381
56,-1036.493530,-0.000000,31948.051453,30911.557922,-30911.557922,30911.557922
57,-3144.025879,-0.000000,-32930.192947,-36074.218826,36074.218826,-36074.218826
58,-907.272949,-0.000000,34949.264526,34041.991577,-34041.991577,34041.991577
59,-3142.987061,-0.000000,-34933.032990,-38076.020050,38076.020050,-38076.020050
