time,P,I,D,ds,left speed,right speed
1,-159.236838,-0.000000,-497615.118027,-200.000000,600.000000,200.000000
2,-157.578946,-0.000000,5180.912018,200.000000,200.000000,600.000000
3,-161.257892,-0.000000,-11496.706009,-200.000000,600.000000,200.000000
4,-159.410522,-0.000000,5773.029327,200.000000,200.000000,600.000000
5,-158.494739,-0.000000,2861.824036,200.000000,200.000000,600.000000
6,-161.305261,-0.000000,-8782.882690,-200.000000,600.000000,200.000000
7,-161.889478,-0.000000,-1825.675964,-200.000000,600.000000,200.000000
8,-160.610522,-0.000000,3996.734619,200.000000,200.000000,600.000000
9,-162.442108,-0.000000,-5723.705292,-200.000000,600.000000,200.000000
10,-157.121054,-0.000000,16628.293991,200.000000,200.000000,600.000000
11,-158.305261,-0.000000,-3700.647354,-200.000000,600.000000,200.000000
12,-158.857892,-0.000000,-1726.970673,-200.000000,600.000000,200.000000
13,-154.121054,-0.000000,14802.618027,200.000000,200.000000,600.000000
14,-152.636838,-0.000000,4638.175964,200.000000,200.000000,600.000000
15,-153.931577,-0.000000,-4046.058655,-200.000000,600.000000,200.000000
16,-153.521054,-0.000000,1282.882690,200.000000,200.000000,600.000000
17,-154.310522,-0.000000,-2467.088699,-200.000000,600.000000,200.000000
18,-152.684207,-0.000000,5082.235336,200.000000,200.000000,600.000000
19,-153.868423,-0.000000,-3700.675964,-200.000000,600.000000,200.000000
20,-150.284207,-0.000000,11200.675964,200.000000,200.000000,600.000000
21,-150.031577,-0.000000,789.470673,200.000000,200.000000,600.000000
22,-149.952631,-0.000000,246.706009,96.753378,303.246622,496.753378
23,-154.326315,-0.000000,-13667.764664,-200.000000,600.000000,200.000000
24,-153.157892,-0.000000,3651.323318,200.000000,200.000000,600.000000
25,-156.773685,-0.000000,-11299.352646,-200.000000,600.000000,200.000000
26,-157.721054,-0.000000,-2960.529327,-200.000000,600.000000,200.000000
27,-154.531577,-0.000000,9967.117310,200.000000,200.000000,600.000000
28,-156.505261,-0.000000,-6167.764664,-200.000000,600.000000,200.000000
29,-154.342108,-0.000000,6759.853363,200.000000,200.000000,600.000000
30,-158.100000,-0.000000,-11743.412018,-200.000000,600.000000,200.000000
31,-155.542108,-0.000000,7993.412018,200.000000,200.000000,600.000000
32,-156.426315,-0.000000,-2763.147354,-200.000000,600.000000,200.000000
33,-158.905261,-0.000000,-7746.706009,-200.000000,600.000000,200.000000
34,-153.963162,-0.000000,15444.059372,200.000000,200.000000,600.000000
35,-155.068423,-0.000000,-3453.941345,-200.000000,600.000000,200.000000
36,-149.936838,-0.000000,16036.205292,200.000000,200.000000,600.000000
37,-150.094739,-0.000000,-493.440628,-200.000000,600.000000,200.000000
38,-147.773685,-0.000000,7253.293991,200.000000,200.000000,600.000000
39,-148.563162,-0.000000,-2467.117310,-200.000000,600.000000,200.000000
40,-144.094739,-0.000000,13963.823318,200.000000,200.000000,600.000000
41,-143.336838,-0.000000,2368.440628,200.000000,200.000000,600.000000
42,-146.021054,-0.000000,-8388.175964,-200.000000,600.000000,200.000000
43,-140.131577,-0.000000,18404.617310,200.000000,200.000000,600.000000
44,-146.905261,-0.000000,-21167.764664,-200.000000,600.000000,200.000000
45,-145.073685,-0.000000,5723.676682,200.000000,200.000000,600.000000
46,-149.242108,-0.000000,-13026.323318,-200.000000,600.000000,200.000000
47,-145.689478,-0.000000,11101.970673,200.000000,200.000000,600.000000
48,-144.000000,-0.000000,5279.617310,200.000000,200.000000,600.000000
49,-145.642108,-0.000000,-5131.587982,-200.000000,600.000000,200.000000
50,-150.773685,-0.000000,-16036.176682,-200.000000,600.000000,200.000000
51,-149.810522,-0.000000,3009.881973,200.000000,200.000000,600.000000
52,-149.494739,-0.000000,986.824036,200.000000,200.000000,600.000000
53,-155.005261,-0.000000,-17220.382690,-200.000000,600.000000,200.000000
54,-155.968423,-0.000000,-3009.881973,-200.000000,600.000000,200.000000
55,-148.784207,-0.000000,22450.675964,200.000000,200.000000,600.000000
56,-153.363162,-0.000000,-14309.234619,-200.000000,600.000000,200.000000
57,-150.047369,-0.000000,10361.852646,200.000000,200.000000,600.000000
58,-150.063162,-0.000000,-49.352646,-199.415808,599.415808,200.584192
59,-152.810522,-0.000000,-8585.500717,-200.000000,600.000000,200.000000
60,-149.668423,-0.000000,9819.059372,200.000000,200.000000,600.000000
61,-146.526315,-0.000000,9819.087982,200.000000,200.000000,600.000000
62,-150.694739,-0.000000,-13026.323318,-200.000000,600.000000,200.000000
63,-145.231577,-0.000000,17072.381973,200.000000,200.000000,600.000000
64,-149.021054,-0.000000,-11842.117310,-200.000000,600.000000,200.000000
65,-148.500000,-0.000000,1628.293991,200.000000,200.000000,600.000000
66,-147.015793,-0.000000,4638.147354,200.000000,200.000000,600.000000
67,-149.684207,-0.000000,-8338.794708,-200.000000,600.000000,200.000000
68,-150.442108,-0.000000,-2368.440628,-200.000000,600.000000,200.000000
69,-155.321054,-0.000000,-15246.706009,-200.000000,600.000000,200.000000
70,-149.557892,-0.000000,18009.881973,200.000000,200.000000,600.000000
71,-146.336838,-0.000000,10065.793991,200.000000,200.000000,600.000000
72,-150.189478,-0.000000,-12039.499283,-200.000000,600.000000,200.000000
73,-146.242108,-0.000000,12335.529327,200.000000,200.000000,600.000000
74,-150.978946,-0.000000,-14802.618027,-200.000000,600.000000,200.000000
75,-146.305261,-0.000000,14605.264664,200.000000,200.000000,600.000000
76,-149.936838,-0.000000,-11348.676682,-200.000000,600.000000,200.000000
77,-152.557892,-0.000000,-8190.793991,-200.000000,600.000000,200.000000
