time,P,I,D,ds,left speed,right speed
1,-7346.842117,-0.000000,-11479440.808296,-200.000000,600.000000,200.000000
2,-7312.631607,-0.000000,53453.922272,200.000000,200.000000,600.000000
3,-7361.578941,-0.000000,-76480.209827,-200.000000,600.000000,200.000000
4,-7345.263138,-0.000000,25493.443012,200.000000,200.000000,600.000000
5,-7326.315765,-0.000000,29605.269432,200.000000,200.000000,600.000000
6,-7328.421021,-0.000000,-3289.461136,-200.000000,600.000000,200.000000
7,-7345.789490,-0.000000,-27138.233185,-200.000000,600.000000,200.000000
8,-7345.263138,-0.000000,822.424889,-200.000000,600.000000,200.000000
9,-7374.736824,-0.000000,-46052.634716,-200.000000,600.000000,200.000000
10,-7306.842117,-0.000000,106085.479259,200.000000,200.000000,600.000000
11,-7324.210510,-0.000000,-27138.113976,-200.000000,600.000000,200.000000
12,-7356.315765,-0.000000,-50164.461136,-200.000000,600.000000,200.000000
13,-7311.052628,-0.000000,70723.652840,200.000000,200.000000,600.000000
14,-7324.736862,-0.000000,-21381.616592,-200.000000,600.000000,200.000000
15,-7333.157883,-0.000000,-13157.844543,-200.000000,600.000000,200.000000
16,-7352.105255,-0.000000,-29605.269432,-200.000000,600.000000,200.000000
17,-7352.105255,-0.000000,0.000000,-200.000000,600.000000,200.000000
18,-7358.947372,-0.000000,-10690.808296,-200.000000,600.000000,200.000000
19,-7361.578941,-0.000000,-4111.826420,-200.000000,600.000000,200.000000
20,-7335.789490,-0.000000,40296.018124,200.000000,200.000000,600.000000
21,-7344.210510,-0.000000,-13157.844543,-200.000000,600.000000,200.000000
22,-7312.105255,-0.000000,50164.461136,200.000000,200.000000,600.000000
23,-7345.263138,-0.000000,-51809.191704,-200.000000,600.000000,200.000000
24,-7329.473648,-0.000000,24671.077728,200.000000,200.000000,600.000000
25,-7345.789490,-0.000000,-25493.502617,-200.000000,600.000000,200.000000
26,-7333.157883,-0.000000,19736.886024,200.000000,200.000000,600.000000
27,-7312.105255,-0.000000,32894.730568,200.000000,200.000000,600.000000
28,-7315.789490,-0.000000,-5756.616592,-200.000000,600.000000,200.000000
29,-7307.894745,-0.000000,12335.538864,200.000000,200.000000,600.000000
30,-7366.842117,-0.000000,-92105.269432,-200.000000,600.000000,200.000000
31,-7330.000000,-0.000000,57565.808296,200.000000,200.000000,600.000000
32,-7327.894745,-0.000000,3289.461136,-200.000000,600.000000,200.000000
33,-7383.157883,-0.000000,-86348.652840,-200.000000,600.000000,200.000000
34,-7326.842117,-0.000000,87993.383408,200.000000,200.000000,600.000000
35,-7364.736824,-0.000000,-59210.479259,-200.000000,600.000000,200.000000
36,-7320.000000,-0.000000,69901.287556,200.000000,200.000000,600.000000
37,-7340.000000,-0.000000,-31250.000000,-200.000000,600.000000,200.000000
38,-7327.894745,-0.000000,18914.461136,200.000000,200.000000,600.000000
39,-7350.000000,-0.000000,-34539.461136,-200.000000,600.000000,200.000000
40,-7329.473648,-0.000000,32072.424889,200.000000,200.000000,600.000000
41,-7318.947372,-0.000000,16447.305679,200.000000,200.000000,600.000000
42,-7330.526352,-0.000000,-18092.155457,-200.000000,600.000000,200.000000
43,-7284.736862,-0.000000,71546.077728,200.000000,200.000000,600.000000
44,-7346.315765,-0.000000,-96217.036247,-200.000000,600.000000,200.000000
45,-7320.000000,-0.000000,41118.383408,200.000000,200.000000,600.000000
46,-7361.052628,-0.000000,-64144.730568,-200.000000,600.000000,200.000000
47,-7341.578979,-0.000000,30427.575111,200.000000,200.000000,600.000000
48,-7314.736862,-0.000000,41940.808296,200.000000,200.000000,600.000000
49,-7307.368393,-0.000000,11513.233185,200.000000,200.000000,600.000000
50,-7348.947372,-0.000000,-64967.155457,-200.000000,600.000000,200.000000
51,-7343.157883,-0.000000,9046.077728,200.000000,200.000000,600.000000
52,-7336.842117,-0.000000,9868.383408,200.000000,200.000000,600.000000
53,-7363.684196,-0.000000,-41940.748692,-200.000000,600.000000,200.000000
54,-7382.105255,-0.000000,-28782.904148,-200.000000,600.000000,200.000000
55,-7308.947372,-0.000000,114309.191704,200.000000,200.000000,600.000000
56,-7353.157883,-0.000000,-69078.922272,-200.000000,600.000000,200.000000
57,-7325.789490,-0.000000,42763.113976,200.000000,200.000000,600.000000
58,-7320.000000,-0.000000,9046.077728,200.000000,200.000000,600.000000
59,-7367.368431,-0.000000,-74013.173580,-200.000000,600.000000,200.000000
60,-7341.578979,-0.000000,40296.018124,200.000000,200.000000,600.000000
61,-7309.473648,-0.000000,50164.580345,200.000000,200.000000,600.000000
62,-7357.894745,-0.000000,-75657.963753,-200.000000,600.000000,200.000000
63,-7298.947372,-0.000000,92105.269432,200.000000,200.000000,600.000000
64,-7329.473648,-0.000000,-47697.305679,-200.000000,600.000000,200.000000
65,-7337.368393,-0.000000,-12335.538864,-200.000000,600.000000,200.000000
66,-7322.631607,-0.000000,23026.227951,200.000000,200.000000,600.000000
67,-7307.368393,-0.000000,23848.772049,200.000000,200.000000,600.000000
68,-7303.157883,-0.000000,6578.922272,-200.000000,600.000000,200.000000
69,-7379.473686,-0.000000,-119243.443012,-200.000000,600.000000,200.000000
70,-7325.263138,-0.000000,84703.981876,200.000000,200.000000,600.000000
71,-7304.210510,-0.000000,32894.730568,200.000000,200.000000,600.000000
72,-7342.105255,-0.000000,-59210.538864,-200.000000,600.000000,200.000000
73,-7315.789490,-0.000000,41118.383408,200.000000,200.000000,600.000000
74,-7351.578979,-0.000000,-55921.077728,-200.000000,600.000000,200.000000
75,-7314.736862,-0.000000,57565.808296,200.000000,200.000000,600.000000
76,-7330.526352,-0.000000,-24671.077728,-200.000000,600.000000,200.000000
77,-7382.105255,-0.000000,-80592.036247,-200.000000,600.000000,200.000000
78,-7329.473648,-0.000000,82236.886024,200.000000,200.000000,600.000000
79,-7343.684235,-0.000000,-22204.041481,-200.000000,600.000000,200.000000
80,-7376.315804,-0.000000,-50986.826420,-200.000000,600.000000,200.000000
81,-7348.421021,-0.000000,43585.598469,200.000000,200.000000,600.000000
82,-7371.052628,-0.000000,-35361.886024,-200.000000,600.000000,200.000000
83,-7346.842117,-0.000000,37828.922272,200.000000,200.000000,600.000000
84,-7330.526352,-0.000000,25493.383408,200.000000,200.000000,600.000000
85,-7339.473648,-0.000000,-13980.150223,-200.000000,600.000000,200.000000
86,-7302.105255,-0.000000,58388.113976,200.000000,200.000000,600.000000
87,-7355.263138,-0.000000,-83059.191704,-200.000000,600.000000,200.000000
88,-7317.368393,-0.000000,59210.538864,200.000000,200.000000,600.000000
89,-7326.315765,-0.000000,-13980.269432,-200.000000,600.000000,200.000000
90,-7342.631607,-0.000000,-25493.502617,-200.000000,600.000000,200.000000
91,-7338.421021,-0.000000,6579.041481,-200.000000,600.000000,200.000000
92,-7344.736862,-0.000000,-9868.502617,-200.000000,600.000000,200.000000
93,-7331.052628,-0.000000,21381.616592,200.000000,200.000000,600.000000
94,-7325.789490,-0.000000,8223.652840,200.000000,200.000000,600.000000
