time,P,I,D,ds,prox_right,left speed,right speed
1,-69.236838,-0.000000,-216365.118027,-200.000000,269.210541,600.000000,200.000000
2,-67.578946,-0.000000,5180.912018,200.000000,274.736847,200.000000,600.000000
3,-71.257892,-0.000000,-11496.706009,-200.000000,262.473694,600.000000,200.000000
4,-69.410522,-0.000000,5773.029327,200.000000,268.631592,200.000000,600.000000
5,-68.494739,-0.000000,2861.824036,200.000000,271.684204,200.000000,600.000000
6,-71.305261,-0.000000,-8782.882690,-200.000000,262.315796,600.000000,200.000000
7,-71.889478,-0.000000,-1825.675964,-200.000000,260.368408,600.000000,200.000000
8,-70.610522,-0.000000,3996.734619,200.000000,264.631592,200.000000,600.000000
9,-72.442108,-0.000000,-5723.705292,-200.000000,258.526306,600.000000,200.000000
10,-67.121054,-0.000000,16628.293991,200.000000,276.263153,200.000000,600.000000
11,-68.305261,-0.000000,-3700.647354,-200.000000,272.315796,600.000000,200.000000
12,-68.857892,-0.000000,-1726.970673,-200.000000,270.473694,600.000000,200.000000
13,-64.121054,-0.000000,14802.618027,200.000000,286.263153,200.000000,600.000000
14,-62.636838,-0.000000,4638.175964,200.000000,291.210541,200.000000,600.000000
15,-63.931577,-0.000000,-4046.058655,-200.000000,286.894745,600.000000,200.000000
16,-63.521054,-0.000000,1282.882690,200.000000,288.263153,200.000000,600.000000
17,-64.310522,-0.000000,-2467.088699,-200.000000,285.631592,600.000000,200.000000
18,-62.684207,-0.000000,5082.235336,200.000000,291.052643,200.000000,600.000000
19,-63.868423,-0.000000,-3700.675964,-200.000000,287.105255,600.000000,200.000000
20,-60.284207,-0.000000,11200.675964,200.000000,299.052643,200.000000,600.000000
21,-60.031577,-0.000000,789.470673,200.000000,299.894745,200.000000,600.000000
22,-59.952631,-0.000000,246.706009,186.753378,300.157898,213.246622,586.753378
23,-65.463162,-0.000000,-17220.411301,-200.000000,281.789459,600.000000,200.000000
24,-64.263162,-0.000000,3750.000000,200.000000,285.789459,200.000000,600.000000
25,-69.078946,-0.000000,-15049.324036,-200.000000,269.736847,600.000000,200.000000
26,-70.026315,-0.000000,-2960.529327,-200.000000,266.578949,600.000000,200.000000
27,-67.752631,-0.000000,7105.264664,200.000000,274.157898,200.000000,600.000000
28,-70.042108,-0.000000,-7154.617310,-200.000000,266.526306,600.000000,200.000000
29,-68.731577,-0.000000,4095.411301,200.000000,270.894745,200.000000,600.000000
30,-72.868423,-0.000000,-12927.646637,-200.000000,257.105255,600.000000,200.000000
31,-71.005261,-0.000000,5822.381973,200.000000,263.315796,200.000000,600.000000
32,-72.552631,-0.000000,-4835.529327,-200.000000,258.157898,600.000000,200.000000
33,-74.589473,-0.000000,-6365.132332,-200.000000,251.368423,600.000000,200.000000
34,-70.531577,-0.000000,12680.926323,200.000000,264.894745,200.000000,600.000000
35,-72.078946,-0.000000,-4835.529327,-200.000000,259.736847,600.000000,200.000000
36,-68.052631,-0.000000,12582.235336,200.000000,273.157898,200.000000,600.000000
37,-69.063162,-0.000000,-3157.911301,-200.000000,269.789459,600.000000,200.000000
38,-67.247369,-0.000000,5674.352646,200.000000,275.842102,200.000000,600.000000
39,-68.384207,-0.000000,-3552.618027,-200.000000,272.052643,600.000000,200.000000
40,-65.084207,-0.000000,10312.500000,200.000000,283.052643,200.000000,600.000000
41,-64.863162,-0.000000,690.765381,200.000000,283.789459,200.000000,600.000000
42,-67.705261,-0.000000,-8881.559372,-200.000000,274.315796,600.000000,200.000000
43,-63.994739,-0.000000,11595.382690,200.000000,286.684204,200.000000,600.000000
44,-69.473685,-0.000000,-17121.706009,-200.000000,268.421051,600.000000,200.000000
45,-68.115793,-0.000000,4243.412018,200.000000,272.947357,200.000000,600.000000
46,-71.810522,-0.000000,-11546.030045,-200.000000,260.631592,600.000000,200.000000
47,-69.678946,-0.000000,6661.176682,200.000000,267.736847,200.000000,600.000000
48,-70.042108,-0.000000,-1134.881973,-200.000000,266.526306,600.000000,200.000000
