time,P,I,D,ds,left speed,right speed
1,-2883.246765,-0.000000,-0.000000,-2883.246765,2883.246765,-2883.246765
2,-698.051758,-0.000000,0.000000,-698.051758,698.051758,-698.051758
3,-228.441772,-0.000000,0.000000,-228.441772,228.441772,-228.441772
4,-130.908813,-0.000000,0.000000,-130.908813,530.908813,269.091187
5,1185.584717,-0.000000,0.000000,1185.584717,-1185.584717,1185.584717
6,-530.779419,-0.000000,-0.000000,-530.779419,530.779419,-530.779419
7,903.117065,-0.000000,0.000000,903.117065,-903.117065,903.117065
8,-2101.038818,-0.000000,-0.000000,-2101.038818,2101.038818,-2101.038818
9,898.441772,-0.000000,0.000000,898.441772,-898.441772,898.441772
10,-1911.038818,-0.000000,-0.000000,-1911.038818,1911.038818,-1911.038818
11,1200.130005,-0.000000,0.000000,1200.130005,-1200.130005,1200.130005
12,-1958.831177,-0.000000,-0.000000,-1958.831177,1958.831177,-1958.831177
13,1272.077637,-0.000000,0.000000,1272.077637,-1272.077637,1272.077637
14,-1933.117065,-0.000000,-0.000000,-1933.117065,1933.117065,-1933.117065
15,1220.908813,-0.000000,0.000000,1220.908813,-1220.908813,1220.908813
16,-2054.935303,-0.000000,-0.000000,-2054.935303,2054.935303,-2054.935303
17,1190.519409,-0.000000,0.000000,1190.519409,-1190.519409,1190.519409
18,-1944.805298,-0.000000,-0.000000,-1944.805298,1944.805298,-1944.805298
19,1230.649414,-0.000000,0.000000,1230.649414,-1230.649414,1230.649414
20,-1887.662354,-0.000000,-0.000000,-1887.662354,1887.662354,-1887.662354
21,1310.519409,-0.000000,0.000000,1310.519409,-1310.519409,1310.519409
22,-1836.882935,-0.000000,-0.000000,-1836.882935,1836.882935,-1836.882935
23,1369.220581,-0.000000,0.000000,1369.220581,-1369.220581,1369.220581
24,-1921.428833,-0.000000,-0.000000,-1921.428833,1921.428833,-1921.428833
25,1417.532349,-0.000000,0.000000,1417.532349,-1417.532349,1417.532349
26,-1769.091187,-0.000000,-0.000000,-1769.091187,1769.091187,-1769.091187
27,1612.857056,-0.000000,0.000000,1612.857056,-1612.857056,1612.857056
28,-1722.467651,-0.000000,-0.000000,-1722.467651,1722.467651,-1722.467651
29,1649.480591,-0.000000,0.000000,1649.480591,-1649.480591,1649.480591
30,-1968.701172,-0.000000,-0.000000,-1968.701172,1968.701172,-1968.701172
31,1610.908813,-0.000000,0.000000,1610.908813,-1610.908813,1610.908813
32,-1794.415283,-0.000000,-0.000000,-1794.415283,1794.415283,-1794.415283
33,1450.779419,-0.000000,0.000000,1450.779419,-1450.779419,1450.779419
34,-1802.597656,-0.000000,-0.000000,-1802.597656,1802.597656,-1802.597656
35,1438.311768,-0.000000,0.000000,1438.311768,-1438.311768,1438.311768
36,-1845.714111,-0.000000,-0.000000,-1845.714111,1845.714111,-1845.714111
37,1556.104126,-0.000000,0.000000,1556.104126,-1556.104126,1556.104126
38,-1890.000000,-0.000000,-0.000000,-1890.000000,1890.000000,-1890.000000
39,1545.194702,-0.000000,0.000000,1545.194702,-1545.194702,1545.194702
40,-1775.844116,-0.000000,-0.000000,-1775.844116,1775.844116,-1775.844116
41,1832.727051,-0.000000,0.000000,1832.727051,-1832.727051,1832.727051
42,-1688.311768,-0.000000,-0.000000,-1688.311768,1688.311768,-1688.311768
43,1852.727051,-0.000000,0.000000,1852.727051,-1852.727051,1852.727051
44,-1816.493530,-0.000000,-0.000000,-1816.493530,1816.493530,-1816.493530
45,1467.792358,-0.000000,0.000000,1467.792358,-1467.792358,1467.792358
46,-2052.207642,-0.000000,-0.000000,-2052.207642,2052.207642,-2052.207642
47,1405.584717,-0.000000,0.000000,1405.584717,-1405.584717,1405.584717
48,-1768.051758,-0.000000,-0.000000,-1768.051758,1768.051758,-1768.051758
49,1794.025879,-0.000000,0.000000,1794.025879,-1794.025879,1794.025879
50,-1820.000000,-0.000000,-0.000000,-1820.000000,1820.000000,-1820.000000
51,1713.636475,-0.000000,0.000000,1713.636475,-1713.636475,1713.636475
52,-1907.532349,-0.000000,-0.000000,-1907.532349,1907.532349,-1907.532349
53,1295.454712,-0.000000,0.000000,1295.454712,-1295.454712,1295.454712
54,-2011.168823,-0.000000,-0.000000,-2011.168823,2011.168823,-2011.168823
55,1390.130005,-0.000000,0.000000,1390.130005,-1390.130005,1390.130005
56,-1998.441772,-0.000000,-0.000000,-1998.441772,1998.441772,-1998.441772
57,1655.454712,-0.000000,0.000000,1655.454712,-1655.454712,1655.454712
58,-1812.337646,-0.000000,-0.000000,-1812.337646,1812.337646,-1812.337646
59,1575.584717,-0.000000,0.000000,1575.584717,-1575.584717,1575.584717
60,-1904.415283,-0.000000,-0.000000,-1904.415283,1904.415283,-1904.415283
61,1410.000000,-0.000000,0.000000,1410.000000,-1410.000000,1410.000000
62,-2007.922363,-0.000000,-0.000000,-2007.922363,2007.922363,-2007.922363
63,1307.402344,-0.000000,0.000000,1307.402344,-1307.402344,1307.402344
64,-2037.922363,-0.000000,-0.000000,-2037.922363,2037.922363,-2037.922363
65,1250.130005,-0.000000,0.000000,1250.130005,-1250.130005,1250.130005
66,-2021.168823,-0.000000,-0.000000,-2021.168823,2021.168823,-2021.168823
67,1311.038818,-0.000000,0.000000,1311.038818,-1311.038818,1311.038818
68,-1933.246460,-0.000000,-0.000000,-1933.246460,1933.246460,-1933.246460
69,822.077637,-0.000000,0.000000,822.077637,-822.077637,822.077637
70,-1821.298828,-0.000000,-0.000000,-1821.298828,1821.298828,-1821.298828
71,1029.091187,-0.000000,0.000000,1029.091187,-1029.091187,1029.091187
72,-1757.662354,-0.000000,-0.000000,-1757.662354,1757.662354,-1757.662354
73,1360.649414,-0.000000,0.000000,1360.649414,-1360.649414,1360.649414
74,-1689.350586,-0.000000,-0.000000,-1689.350586,1689.350586,-1689.350586
75,1366.882935,-0.000000,0.000000,1366.882935,-1366.882935,1366.882935
76,-1872.207642,-0.000000,-0.000000,-1872.207642,1872.207642,-1872.207642
77,1034.935303,-0.000000,0.000000,1034.935303,-1034.935303,1034.935303
78,-2030.000000,-0.000000,-0.000000,-2030.000000,2030.000000,-2030.000000
79,1088.701172,-0.000000,0.000000,1088.701172,-1088.701172,1088.701172
80,-2090.260010,-0.000000,-0.000000,-2090.260010,2090.260010,-2090.260010
